CPIAUCSL,
lin,Index 1982-1984=100
M,Monthly
01/01/1900,1947-01-01 to 2022-03-01
Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,
U.S. Bureau of Labor Statistics,
date,value
01/01/1947,21.5
02/01/1947,21.6
03/01/1947,22.0
04/01/1947,22.0
05/01/1947,22.0
06/01/1947,22.1
07/01/1947,22.2
08/01/1947,22.4
09/01/1947,22.8
10/01/1947,22.9
11/01/1947,23.1
12/01/1947,23.4
01/01/1948,23.7
02/01/1948,23.7
03/01/1948,23.5
04/01/1948,23.8
05/01/1948,24.0
06/01/1948,24.2
07/01/1948,24.4
08/01/1948,24.4
09/01/1948,24.4
10/01/1948,24.3
11/01/1948,24.2
12/01/1948,24.1
01/01/1949,24.0
02/01/1949,23.9
03/01/1949,23.9
04/01/1949,23.9
05/01/1949,23.9
06/01/1949,23.9
07/01/1949,23.7
08/01/1949,23.7
09/01/1949,23.8
10/01/1949,23.7
11/01/1949,23.7
12/01/1949,23.6
01/01/1950,23.5
02/01/1950,23.6
03/01/1950,23.6
04/01/1950,23.7
05/01/1950,23.8
06/01/1950,23.9
07/01/1950,24.1
08/01/1950,24.2
09/01/1950,24.3
10/01/1950,24.5
11/01/1950,24.6
12/01/1950,25.0
01/01/1951,25.4
02/01/1951,25.8
03/01/1951,25.9
04/01/1951,25.9
05/01/1951,26.0
06/01/1951,25.9
07/01/1951,25.9
08/01/1951,25.9
09/01/1951,26.0
10/01/1951,26.2
11/01/1951,26.3
12/01/1951,26.5
01/01/1952,26.5
02/01/1952,26.4
03/01/1952,26.4
04/01/1952,26.5
05/01/1952,26.5
06/01/1952,26.5
07/01/1952,26.7
08/01/1952,26.7
09/01/1952,26.6
10/01/1952,26.7
11/01/1952,26.7
12/01/1952,26.7
01/01/1953,26.6
02/01/1953,26.6
03/01/1953,26.6
04/01/1953,26.7
05/01/1953,26.7
06/01/1953,26.8
07/01/1953,26.8
08/01/1953,26.9
09/01/1953,26.9
10/01/1953,27.0
11/01/1953,26.9
12/01/1953,26.9
01/01/1954,26.9
02/01/1954,27.0
03/01/1954,26.9
04/01/1954,26.9
05/01/1954,26.9
06/01/1954,26.9
07/01/1954,26.9
08/01/1954,26.9
09/01/1954,26.8
10/01/1954,26.7
11/01/1954,26.8
12/01/1954,26.8
01/01/1955,26.8
02/01/1955,26.8
03/01/1955,26.8
04/01/1955,26.8
05/01/1955,26.8
06/01/1955,26.7
07/01/1955,26.8
08/01/1955,26.7
09/01/1955,26.9
10/01/1955,26.8
11/01/1955,26.9
12/01/1955,26.9
01/01/1956,26.8
02/01/1956,26.9
03/01/1956,26.9
04/01/1956,26.9
05/01/1956,27.0
06/01/1956,27.2
07/01/1956,27.3
08/01/1956,27.3
09/01/1956,27.4
10/01/1956,27.5
11/01/1956,27.5
12/01/1956,27.6
01/01/1957,27.7
02/01/1957,27.8
03/01/1957,27.9
04/01/1957,27.9
05/01/1957,28.0
06/01/1957,28.1
07/01/1957,28.2
08/01/1957,28.3
09/01/1957,28.3
10/01/1957,28.3
11/01/1957,28.4
12/01/1957,28.5
01/01/1958,28.6
02/01/1958,28.7
03/01/1958,28.9
04/01/1958,28.9
05/01/1958,28.9
06/01/1958,28.9
07/01/1958,28.9
08/01/1958,28.9
09/01/1958,28.9
10/01/1958,28.9
11/01/1958,29.0
12/01/1958,29.0
01/01/1959,29.0
02/01/1959,29.0
03/01/1959,29.0
04/01/1959,29.0
05/01/1959,29.0
06/01/1959,29.1
07/01/1959,29.2
08/01/1959,29.2
09/01/1959,29.3
10/01/1959,29.4
11/01/1959,29.4
12/01/1959,29.4
01/01/1960,29.4
02/01/1960,29.4
03/01/1960,29.4
04/01/1960,29.5
05/01/1960,29.6
06/01/1960,29.6
07/01/1960,29.6
08/01/1960,29.6
09/01/1960,29.6
10/01/1960,29.8
11/01/1960,29.8
12/01/1960,29.8
01/01/1961,29.8
02/01/1961,29.8
03/01/1961,29.8
04/01/1961,29.8
05/01/1961,29.8
06/01/1961,29.8
07/01/1961,29.9
08/01/1961,29.9
09/01/1961,30.0
10/01/1961,30.0
11/01/1961,30.0
12/01/1961,30.0
01/01/1962,30.0
02/01/1962,30.1
03/01/1962,30.2
04/01/1962,30.2
05/01/1962,30.2
06/01/1962,30.2
07/01/1962,30.2
08/01/1962,30.3
09/01/1962,30.4
10/01/1962,30.4
11/01/1962,30.4
12/01/1962,30.4
01/01/1963,30.4
02/01/1963,30.5
03/01/1963,30.5
04/01/1963,30.5
05/01/1963,30.5
06/01/1963,30.6
07/01/1963,30.7
08/01/1963,30.8
09/01/1963,30.7
10/01/1963,30.8
11/01/1963,30.8
12/01/1963,30.9
01/01/1964,30.9
02/01/1964,30.9
03/01/1964,30.9
04/01/1964,31.0
05/01/1964,31.0
06/01/1964,31.0
07/01/1964,31.0
08/01/1964,31.1
09/01/1964,31.1
10/01/1964,31.1
11/01/1964,31.2
12/01/1964,31.3
01/01/1965,31.3
02/01/1965,31.3
03/01/1965,31.3
04/01/1965,31.4
05/01/1965,31.5
06/01/1965,31.6
07/01/1965,31.6
08/01/1965,31.6
09/01/1965,31.6
10/01/1965,31.7
11/01/1965,31.8
12/01/1965,31.9
01/01/1966,31.9
02/01/1966,32.1
03/01/1966,32.2
04/01/1966,32.3
05/01/1966,32.4
06/01/1966,32.4
07/01/1966,32.5
08/01/1966,32.7
09/01/1966,32.8
10/01/1966,32.9
11/01/1966,32.9
12/01/1966,32.9
01/01/1967,32.9
02/01/1967,33.0
03/01/1967,33.0
04/01/1967,33.1
05/01/1967,33.1
06/01/1967,33.3
07/01/1967,33.4
