CPILFESL,
lin,Index 1982-1984=100
M,Monthly
01/01/1900,1957-01-01 to 2022-03-01
Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average,
U.S. Bureau of Labor Statistics,
date,value
01/01/1957,28.5
02/01/1957,28.6
03/01/1957,28.7
04/01/1957,28.8
05/01/1957,28.8
06/01/1957,28.9
07/01/1957,29.0
08/01/1957,29.0
09/01/1957,29.1
10/01/1957,29.2
11/01/1957,29.3
12/01/1957,29.3
01/01/1958,29.3
02/01/1958,29.4
03/01/1958,29.5
04/01/1958,29.5
05/01/1958,29.5
06/01/1958,29.6
07/01/1958,29.6
08/01/1958,29.6
09/01/1958,29.7
10/01/1958,29.7
11/01/1958,29.8
12/01/1958,29.9
01/01/1959,29.9
02/01/1959,29.9
03/01/1959,30.0
04/01/1959,30.0
05/01/1959,30.1
06/01/1959,30.2
07/01/1959,30.2
08/01/1959,30.2
09/01/1959,30.3
10/01/1959,30.4
11/01/1959,30.4
12/01/1959,30.5
01/01/1960,30.5
02/01/1960,30.6
03/01/1960,30.6
04/01/1960,30.6
05/01/1960,30.6
06/01/1960,30.7
07/01/1960,30.6
08/01/1960,30.6
09/01/1960,30.6
10/01/1960,30.8
11/01/1960,30.8
12/01/1960,30.7
01/01/1961,30.8
02/01/1961,30.8
03/01/1961,30.9
04/01/1961,30.9
05/01/1961,30.9
06/01/1961,31.0
07/01/1961,31.0
08/01/1961,31.1
09/01/1961,31.1
10/01/1961,31.1
11/01/1961,31.2
12/01/1961,31.2
01/01/1962,31.2
02/01/1962,31.2
03/01/1962,31.3
04/01/1962,31.3
05/01/1962,31.4
06/01/1962,31.4
07/01/1962,31.4
08/01/1962,31.5
09/01/1962,31.5
10/01/1962,31.5
11/01/1962,31.5
12/01/1962,31.6
01/01/1963,31.5
02/01/1963,31.6
03/01/1963,31.7
04/01/1963,31.7
05/01/1963,31.7
06/01/1963,31.8
07/01/1963,31.8
08/01/1963,31.9
09/01/1963,31.9
10/01/1963,32.0
11/01/1963,32.0
12/01/1963,32.1
01/01/1964,32.2
02/01/1964,32.2
03/01/1964,32.2
04/01/1964,32.2
05/01/1964,32.2
06/01/1964,32.3
07/01/1964,32.3
08/01/1964,32.3
09/01/1964,32.3
10/01/1964,32.4
11/01/1964,32.5
12/01/1964,32.5
01/01/1965,32.6
02/01/1965,32.6
03/01/1965,32.6
04/01/1965,32.7
05/01/1965,32.7
06/01/1965,32.7
07/01/1965,32.7
08/01/1965,32.7
09/01/1965,32.8
10/01/1965,32.8
11/01/1965,32.9
12/01/1965,33.0
01/01/1966,33.0
02/01/1966,33.1
03/01/1966,33.1
04/01/1966,33.3
05/01/1966,33.4
06/01/1966,33.5
07/01/1966,33.6
08/01/1966,33.7
09/01/1966,33.8
10/01/1966,34.0
11/01/1966,34.0
12/01/1966,34.1
01/01/1967,34.2
02/01/1967,34.2
03/01/1967,34.3
04/01/1967,34.4
05/01/1967,34.5
06/01/1967,34.6
07/01/1967,34.7
08/01/1967,34.9
09/01/1967,35.0
10/01/1967,35.1
11/01/1967,35.2
12/01/1967,35.4
01/01/1968,35.5
02/01/1968,35.7
03/01/1968,35.8
04/01/1968,35.9
05/01/1968,36.0
06/01/1968,36.2
07/01/1968,36.4
08/01/1968,36.5
09/01/1968,36.7
10/01/1968,36.9
11/01/1968,37.1
12/01/1968,37.2
01/01/1969,37.3
02/01/1969,37.6
03/01/1969,37.8
04/01/1969,38.1
05/01/1969,38.1
06/01/1969,38.3
07/01/1969,38.5
08/01/1969,38.7
09/01/1969,38.9
10/01/1969,39.1
11/01/1969,39.2
12/01/1969,39.4
01/01/1970,39.6
02/01/1970,39.8
03/01/1970,40.1
04/01/1970,40.4
05/01/1970,40.5
06/01/1970,40.8
07/01/1970,40.9
08/01/1970,41.1
09/01/1970,41.3
10/01/1970,41.5
11/01/1970,41.8
12/01/1970,42.0
01/01/1971,42.1
02/01/1971,42.2
03/01/1971,42.2
04/01/1971,42.4
05/01/1971,42.6
06/01/1971,42.8
07/01/1971,42.9
08/01/1971,43.0
09/01/1971,43.0
10/01/1971,43.1
11/01/1971,43.2
12/01/1971,43.3
01/01/1972,43.5
02/01/1972,43.6
03/01/1972,43.6
04/01/1972,43.8
05/01/1972,43.9
06/01/1972,44.0
07/01/1972,44.1
08/01/1972,44.3
09/01/1972,44.3
10/01/1972,44.4
11/01/1972,44.4
12/01/1972,44.6
01/01/1973,44.6
02/01/1973,44.8
03/01/1973,45.0
04/01/1973,45.1
05/01/1973,45.3
06/01/1973,45.4
07/01/1973,45.5
08/01/1973,45.7
09/01/1973,46.0
10/01/1973,46.3
11/01/1973,46.5
12/01/1973,46.7
01/01/1974,46.9
02/01/1974,47.2
03/01/1974,47.6
04/01/1974,47.9
05/01/1974,48.5
06/01/1974,49.0
07/01/1974,49.5
08/01/1974,50.2
09/01/1974,50.7
10/01/1974,51.2
11/01/1974,51.6
12/01/1974,52.0
01/01/1975,52.3
02/01/1975,52.8
03/01/1975,53.0
04/01/1975,53.3
05/01/1975,53.5
06/01/1975,53.8
07/01/1975,54.0
08/01/1975,54.2
09/01/1975,54.5
10/01/1975,54.8
11/01/1975,55.2
12/01/1975,55.5
01/01/1976,55.9
02/01/1976,56.2
03/01/1976,56.5
04/01/1976,56.7
05/01/1976,57.0
06/01/1976,57.2
07/01/1976,57.6
08/01/1976,57.9
09/01/1976,58.2
10/01/1976,58.5
11/01/1976,58.7
12/01/1976,58.9
01/01/1977,59.3
02/01/1977,59.7
03/01/1977,60.0
04/01/1977,60.3
05/01/1977,60.6
06/01/1977,61.0
07/01/1977,61.2
